input_text,target_text
"extract transaction: Earlier today, My crypto gain came in, got $601","type: income, amount: 601, category: investment, date: 2025-04-30"
"extract transaction: Last night, Got paid $290 thanks to contract work","type: income, amount: 290, category: freelance, date: 2025-04-29"
"extract transaction: Day before yesterday, I picked up taxi for $1933","type: expense, amount: 1933, category: transportation, date: 2025-04-28"
"extract transaction: This evening, I got $2506 from interest income","type: income, amount: 2506, category: interest, date: 2025-04-30"
extract transaction: Had to pay $4859 for gas earlier this week but recorded it yesterday,"type: expense, amount: 4859, category: transportation, date: 2025-04-29"
extract transaction: paycheque brought in $1270 last night,"type: income, amount: 1270, category: salary, date: 2025-04-29"
"extract transaction: Day before yesterday, Had to pay $371 for bread","type: expense, amount: 371, category: groceries, date: 2025-04-28"
extract transaction: I got $3270 from dividend this evening,"type: income, amount: 3270, category: investment, date: 2025-04-30"
"extract transaction: Bought internet today, it cost me $2615 tonight","type: expense, amount: 2615, category: utilities, date: 2025-04-30"
extract transaction: Had to pay $406 for brunch yesterday,"type: expense, amount: 406, category: food_and_dining, date: 2025-04-29"
extract transaction: Got paid $2511 thanks to rebate day before yesterday,"type: income, amount: 2511, category: other, date: 2025-04-28"
extract transaction: I got $3386 from monthly salary earlier this week but recorded it day before yesterday,"type: income, amount: 3386, category: salary, date: 2025-04-28"
"extract transaction: Last night, Dropped $2869 on apartment rent","type: expense, amount: 2869, category: rent, date: 2025-04-29"
"extract transaction: Just now, Got paid $3534 thanks to bank reward","type: income, amount: 3534, category: interest, date: 2025-04-30"
extract transaction: dividend brought in $4978 earlier today,"type: income, amount: 4978, category: investment, date: 2025-04-30"
extract transaction: I picked up car insurance for $4393 earlier this week but recorded it just now,"type: expense, amount: 4393, category: insurance, date: 2025-04-30"
extract transaction: I picked up movie ticket for $3737 earlier this week but recorded it last night,"type: expense, amount: 3737, category: entertainment, date: 2025-04-29"
"extract transaction: This morning, Spent $17 on house payment","type: expense, amount: 17, category: mortgage, date: 2025-04-30"
extract transaction: Had to pay $207 for heating last night,"type: expense, amount: 207, category: utilities, date: 2025-04-29"
extract transaction: Paid $724 for flight from Superstore yesterday,"type: expense, amount: 724, category: travel, date: 2025-04-29"
extract transaction: Got paid $2966 thanks to contract work this evening,"type: income, amount: 2966, category: freelance, date: 2025-04-30"
"extract transaction: Yesterday, My interest income came in, got $2152","type: income, amount: 2152, category: interest, date: 2025-04-29"
extract transaction: Received $2315 as project payout just now,"type: income, amount: 2315, category: freelance, date: 2025-04-30"
"extract transaction: Bought fee today, it cost me $295 this evening","type: expense, amount: 295, category: other, date: 2025-04-30"
"extract transaction: This morning, Dropped $4260 on dinner","type: expense, amount: 4260, category: food_and_dining, date: 2025-04-30"
"extract transaction: My birthday money came in, got $3031 this evening","type: income, amount: 3031, category: gift, date: 2025-04-30"
extract transaction: I picked up mortgage fee for $3381 this evening,"type: expense, amount: 3381, category: mortgage, date: 2025-04-30"
extract transaction: Spent $3052 on apple music earlier this week but recorded it last night,"type: expense, amount: 3052, category: subscriptions, date: 2025-04-29"
"extract transaction: This morning, Paid $4466 for event ticket from Superstore","type: expense, amount: 4466, category: entertainment, date: 2025-04-30"
"extract transaction: Yesterday, My interest income came in, got $3302","type: income, amount: 3302, category: interest, date: 2025-04-29"
"extract transaction: Earlier today, Received $2884 as e-transfer from friend","type: income, amount: 2884, category: gift, date: 2025-04-30"
extract transaction: I picked up misc for $2347 day before yesterday,"type: expense, amount: 2347, category: other, date: 2025-04-28"
extract transaction: Dropped $4798 on sushi last night,"type: expense, amount: 4798, category: food_and_dining, date: 2025-04-29"
extract transaction: Received $1732 as work deposit earlier this week but recorded it today,"type: income, amount: 1732, category: salary, date: 2025-04-30"
"extract transaction: Earlier today, I got $4470 from cashback","type: income, amount: 4470, category: other, date: 2025-04-30"
extract transaction: I picked up wifi for $912 tonight,"type: expense, amount: 912, category: utilities, date: 2025-04-30"
"extract transaction: Today, Got paid $2686 thanks to paycheque","type: income, amount: 2686, category: salary, date: 2025-04-30"
extract transaction: crypto gain brought in $572 earlier this week but recorded it just now,"type: income, amount: 572, category: investment, date: 2025-04-30"
"extract transaction: Bought spotify today, it cost me $300 tonight","type: expense, amount: 300, category: subscriptions, date: 2025-04-30"
"extract transaction: Last night, side gig brought in $4285","type: income, amount: 4285, category: freelance, date: 2025-04-29"
extract transaction: Got paid $4347 thanks to project payout today,"type: income, amount: 4347, category: freelance, date: 2025-04-30"
"extract transaction: Earlier today, stock payout brought in $2391","type: income, amount: 2391, category: investment, date: 2025-04-30"
"extract transaction: Today, Dropped $3386 on electricity bill","type: expense, amount: 3386, category: utilities, date: 2025-04-30"
extract transaction: crypto gain brought in $1948 earlier today,"type: income, amount: 1948, category: investment, date: 2025-04-30"
"extract transaction: Just now, performance bonus brought in $345","type: income, amount: 345, category: bonus, date: 2025-04-30"
extract transaction: Received $1267 as paycheque earlier this week but recorded it this evening,"type: income, amount: 1267, category: salary, date: 2025-04-30"
"extract transaction: My side gig came in, got $4617 earlier this week but recorded it tonight","type: income, amount: 4617, category: freelance, date: 2025-04-30"
extract transaction: I picked up mortgage fee for $1045 earlier this week but recorded it this evening,"type: expense, amount: 1045, category: mortgage, date: 2025-04-30"
extract transaction: Received $3343 as birthday money day before yesterday,"type: income, amount: 3343, category: gift, date: 2025-04-28"
extract transaction: Dropped $3875 on jacket earlier today,"type: expense, amount: 3875, category: shopping, date: 2025-04-30"
extract transaction: Had to pay $17 for apartment rent this morning,"type: expense, amount: 17, category: rent, date: 2025-04-30"
extract transaction: I got $2569 from lottery win today,"type: income, amount: 2569, category: other, date: 2025-04-30"
"extract transaction: My crypto gain came in, got $4854 day before yesterday","type: income, amount: 4854, category: investment, date: 2025-04-28"
"extract transaction: Today, Paid $4620 for takeout from Superstore","type: expense, amount: 4620, category: food_and_dining, date: 2025-04-30"
extract transaction: Dropped $4673 on tenant insurance today,"type: expense, amount: 4673, category: insurance, date: 2025-04-30"
extract transaction: Received $2594 as monthly salary tonight,"type: income, amount: 2594, category: salary, date: 2025-04-30"
extract transaction: Received $323 as interest income this evening,"type: income, amount: 323, category: interest, date: 2025-04-30"
extract transaction: holiday bonus brought in $2684 earlier this week but recorded it this evening,"type: income, amount: 2684, category: bonus, date: 2025-04-30"
extract transaction: Spent $170 on tuition earlier this week but recorded it tonight,"type: expense, amount: 170, category: education, date: 2025-04-30"
extract transaction: I got $575 from holiday bonus earlier this week but recorded it tonight,"type: income, amount: 575, category: bonus, date: 2025-04-30"
"extract transaction: Last night, Had to pay $3833 for mortgage fee","type: expense, amount: 3833, category: mortgage, date: 2025-04-29"
"extract transaction: Earlier today, Spent $2959 on wifi","type: expense, amount: 2959, category: utilities, date: 2025-04-30"
"extract transaction: Just now, I got $3679 from birthday money","type: income, amount: 3679, category: gift, date: 2025-04-30"
"extract transaction: Yesterday, Paid $1480 for monthly rent from Superstore","type: expense, amount: 1480, category: rent, date: 2025-04-29"
extract transaction: Spent $965 on flight yesterday,"type: expense, amount: 965, category: travel, date: 2025-04-29"
extract transaction: I picked up dinner for $620 earlier this week but recorded it today,"type: expense, amount: 620, category: food_and_dining, date: 2025-04-30"
extract transaction: Dropped $4323 on internet today,"type: expense, amount: 4323, category: utilities, date: 2025-04-30"
extract transaction: Spent $220 on event ticket day before yesterday,"type: expense, amount: 220, category: entertainment, date: 2025-04-28"
"extract transaction: Just now, Spent $4764 on mortgage fee","type: expense, amount: 4764, category: mortgage, date: 2025-04-30"
extract transaction: monthly salary brought in $1875 earlier this week but recorded it this morning,"type: income, amount: 1875, category: salary, date: 2025-04-30"
extract transaction: I got $2639 from project payout today,"type: income, amount: 2639, category: freelance, date: 2025-04-30"
"extract transaction: Earlier today, Bought house payment today, it cost me $1270","type: expense, amount: 1270, category: mortgage, date: 2025-04-30"
extract transaction: Received $4633 as paycheque earlier this week but recorded it this evening,"type: income, amount: 4633, category: salary, date: 2025-04-30"
"extract transaction: Bought brunch today, it cost me $2452 earlier this week but recorded it this evening","type: expense, amount: 2452, category: food_and_dining, date: 2025-04-30"
"extract transaction: This evening, Received $3466 as gift card","type: income, amount: 3466, category: gift, date: 2025-04-30"
"extract transaction: Bought health insurance today, it cost me $2199 earlier today","type: expense, amount: 2199, category: insurance, date: 2025-04-30"
extract transaction: Spent $459 on sushi earlier today,"type: expense, amount: 459, category: food_and_dining, date: 2025-04-30"
"extract transaction: Yesterday, Bought doctor visit today, it cost me $4807","type: expense, amount: 4807, category: healthcare, date: 2025-04-29"
"extract transaction: This evening, Dropped $4825 on train fare","type: expense, amount: 4825, category: transportation, date: 2025-04-30"
"extract transaction: Bought netflix today, it cost me $2807 earlier this week but recorded it tonight","type: expense, amount: 2807, category: entertainment, date: 2025-04-30"
extract transaction: Paid $1398 for fruits from Superstore earlier this week but recorded it yesterday,"type: expense, amount: 1398, category: groceries, date: 2025-04-29"
"extract transaction: This evening, Dropped $3855 on gift","type: expense, amount: 3855, category: shopping, date: 2025-04-30"
extract transaction: Got paid $175 thanks to lottery win earlier this week but recorded it today,"type: income, amount: 175, category: other, date: 2025-04-30"
extract transaction: Dropped $776 on tuition tonight,"type: expense, amount: 776, category: education, date: 2025-04-30"
extract transaction: Spent $181 on car insurance just now,"type: expense, amount: 181, category: insurance, date: 2025-04-30"
"extract transaction: My cashback came in, got $1735 earlier this week but recorded it today","type: income, amount: 1735, category: other, date: 2025-04-30"
extract transaction: Spent $4066 on pizza this morning,"type: expense, amount: 4066, category: food_and_dining, date: 2025-04-30"
extract transaction: Spent $32 on event ticket earlier this week but recorded it last night,"type: expense, amount: 32, category: entertainment, date: 2025-04-29"
"extract transaction: Tonight, Spent $4918 on youtube premium","type: expense, amount: 4918, category: subscriptions, date: 2025-04-30"
"extract transaction: Day before yesterday, Had to pay $4937 for heating","type: expense, amount: 4937, category: utilities, date: 2025-04-28"
extract transaction: cashback brought in $1156 earlier this week but recorded it earlier today,"type: income, amount: 1156, category: other, date: 2025-04-30"
extract transaction: Received $4811 as e-transfer from friend last night,"type: income, amount: 4811, category: gift, date: 2025-04-29"
"extract transaction: Earlier today, Spent $2025 on walk-in clinic","type: expense, amount: 2025, category: healthcare, date: 2025-04-30"
extract transaction: Spent $3860 on internet earlier today,"type: expense, amount: 3860, category: utilities, date: 2025-04-30"
"extract transaction: Just now, holiday bonus brought in $908","type: income, amount: 908, category: bonus, date: 2025-04-30"
extract transaction: Got paid $3062 thanks to performance bonus last night,"type: income, amount: 3062, category: bonus, date: 2025-04-29"
extract transaction: Had to pay $3908 for course fee earlier this week but recorded it yesterday,"type: expense, amount: 3908, category: education, date: 2025-04-29"
"extract transaction: Tonight, I got $3738 from stock payout","type: income, amount: 3738, category: investment, date: 2025-04-30"
"extract transaction: This evening, holiday bonus brought in $4822","type: income, amount: 4822, category: bonus, date: 2025-04-30"
extract transaction: I picked up taxi for $4648 last night,"type: expense, amount: 4648, category: transportation, date: 2025-04-29"
"extract transaction: This morning, Received $3354 as dividend","type: income, amount: 3354, category: investment, date: 2025-04-30"
extract transaction: cashback brought in $760 this evening,"type: income, amount: 760, category: other, date: 2025-04-30"
extract transaction: Dropped $3355 on coffee this evening,"type: expense, amount: 3355, category: food_and_dining, date: 2025-04-30"
"extract transaction: Just now, stock payout brought in $2527","type: income, amount: 2527, category: investment, date: 2025-04-30"
extract transaction: Had to pay $2774 for monthly rent earlier this week but recorded it just now,"type: expense, amount: 2774, category: rent, date: 2025-04-30"
"extract transaction: Tonight, I picked up tenant insurance for $1271","type: expense, amount: 1271, category: insurance, date: 2025-04-30"
extract transaction: Had to pay $178 for shoes earlier today,"type: expense, amount: 178, category: shopping, date: 2025-04-30"
extract transaction: I got $2721 from interest income day before yesterday,"type: income, amount: 2721, category: interest, date: 2025-04-28"
extract transaction: Had to pay $3480 for apple music yesterday,"type: expense, amount: 3480, category: subscriptions, date: 2025-04-29"
"extract transaction: Earlier today, Paid $836 for house payment from Superstore","type: expense, amount: 836, category: mortgage, date: 2025-04-30"
extract transaction: stock payout brought in $3202 earlier this week but recorded it day before yesterday,"type: income, amount: 3202, category: investment, date: 2025-04-28"
extract transaction: Had to pay $3075 for eggs earlier this week but recorded it yesterday,"type: expense, amount: 3075, category: groceries, date: 2025-04-29"
"extract transaction: Earlier today, Spent $2984 on tenant insurance","type: expense, amount: 2984, category: insurance, date: 2025-04-30"
"extract transaction: This evening, Received $2553 as birthday money","type: income, amount: 2553, category: gift, date: 2025-04-30"
"extract transaction: Last night, My bank reward came in, got $3645","type: income, amount: 3645, category: interest, date: 2025-04-29"
extract transaction: contract work brought in $163 this morning,"type: income, amount: 163, category: freelance, date: 2025-04-30"
"extract transaction: Just now, Had to pay $1647 for gift","type: expense, amount: 1647, category: shopping, date: 2025-04-30"
"extract transaction: Today, I picked up misc for $2098","type: expense, amount: 2098, category: other, date: 2025-04-30"
"extract transaction: This evening, Received $4983 as monthly salary","type: income, amount: 4983, category: salary, date: 2025-04-30"
extract transaction: lottery win brought in $2445 tonight,"type: income, amount: 2445, category: other, date: 2025-04-30"
"extract transaction: My project payout came in, got $2350 this morning","type: income, amount: 2350, category: freelance, date: 2025-04-30"
extract transaction: Paid $27 for bag from Superstore earlier this week but recorded it day before yesterday,"type: expense, amount: 27, category: shopping, date: 2025-04-28"
extract transaction: Paid $790 for spotify from Superstore yesterday,"type: expense, amount: 790, category: subscriptions, date: 2025-04-29"
"extract transaction: My cashback came in, got $4766 earlier this week but recorded it day before yesterday","type: income, amount: 4766, category: other, date: 2025-04-28"
extract transaction: Spent $759 on spotify earlier this week but recorded it just now,"type: expense, amount: 759, category: subscriptions, date: 2025-04-30"
"extract transaction: Bought doctor visit today, it cost me $181 last night","type: expense, amount: 181, category: healthcare, date: 2025-04-29"
extract transaction: I got $4536 from interest income earlier today,"type: income, amount: 4536, category: interest, date: 2025-04-30"
"extract transaction: Just now, birthday money brought in $2591","type: income, amount: 2591, category: gift, date: 2025-04-30"
"extract transaction: Day before yesterday, My bank reward came in, got $3269","type: income, amount: 3269, category: interest, date: 2025-04-28"
extract transaction: dividend brought in $2795 last night,"type: income, amount: 2795, category: investment, date: 2025-04-29"
"extract transaction: Tonight, Dropped $4276 on flight","type: expense, amount: 4276, category: travel, date: 2025-04-30"
"extract transaction: Day before yesterday, Got paid $2299 thanks to holiday bonus","type: income, amount: 2299, category: bonus, date: 2025-04-28"
extract transaction: Got paid $1084 thanks to project payout day before yesterday,"type: income, amount: 1084, category: freelance, date: 2025-04-28"
extract transaction: Dropped $1483 on car insurance tonight,"type: expense, amount: 1483, category: insurance, date: 2025-04-30"
extract transaction: gift card brought in $4554 earlier this week but recorded it day before yesterday,"type: income, amount: 4554, category: gift, date: 2025-04-28"
"extract transaction: Tonight, Bought netflix today, it cost me $2357","type: expense, amount: 2357, category: entertainment, date: 2025-04-30"
"extract transaction: This evening, My birthday money came in, got $667","type: income, amount: 667, category: gift, date: 2025-04-30"
extract transaction: Dropped $1654 on train ticket day before yesterday,"type: expense, amount: 1654, category: travel, date: 2025-04-28"
extract transaction: Paid $245 for milk from Superstore earlier today,"type: expense, amount: 245, category: groceries, date: 2025-04-30"
"extract transaction: This morning, I got $4982 from stock payout","type: income, amount: 4982, category: investment, date: 2025-04-30"
"extract transaction: Earlier today, Got paid $3861 thanks to monthly salary","type: income, amount: 3861, category: salary, date: 2025-04-30"
"extract transaction: Earlier today, Got paid $314 thanks to cashback","type: income, amount: 314, category: other, date: 2025-04-30"
extract transaction: project payout brought in $1599 this morning,"type: income, amount: 1599, category: freelance, date: 2025-04-30"
extract transaction: I picked up spotify for $3159 today,"type: expense, amount: 3159, category: subscriptions, date: 2025-04-30"
"extract transaction: Today, Paid $1885 for clothes from Superstore","type: expense, amount: 1885, category: shopping, date: 2025-04-30"
"extract transaction: Earlier today, Spent $3818 on misc","type: expense, amount: 3818, category: other, date: 2025-04-30"
extract transaction: I picked up veggies for $3206 earlier this week but recorded it day before yesterday,"type: expense, amount: 3206, category: groceries, date: 2025-04-28"
"extract transaction: My bank reward came in, got $476 earlier this week but recorded it this evening","type: income, amount: 476, category: interest, date: 2025-04-30"
extract transaction: Dropped $1602 on hydro earlier today,"type: expense, amount: 1602, category: utilities, date: 2025-04-30"
"extract transaction: Just now, Bought dentist today, it cost me $4461","type: expense, amount: 4461, category: healthcare, date: 2025-04-30"
extract transaction: Paid $1436 for game pass from Superstore last night,"type: expense, amount: 1436, category: entertainment, date: 2025-04-29"
"extract transaction: Today, Dropped $719 on hoodie","type: expense, amount: 719, category: shopping, date: 2025-04-30"
extract transaction: crypto gain brought in $1974 earlier today,"type: income, amount: 1974, category: investment, date: 2025-04-30"
"extract transaction: My crypto gain came in, got $2654 earlier this week but recorded it yesterday","type: income, amount: 2654, category: investment, date: 2025-04-29"
extract transaction: Paid $4366 for mortgage fee from Superstore earlier this week but recorded it tonight,"type: expense, amount: 4366, category: mortgage, date: 2025-04-30"
"extract transaction: This evening, Had to pay $4504 for shoes","type: expense, amount: 4504, category: shopping, date: 2025-04-30"
extract transaction: I picked up spotify for $931 earlier this week but recorded it last night,"type: expense, amount: 931, category: subscriptions, date: 2025-04-29"
extract transaction: Paid $4030 for donation from Superstore earlier this week but recorded it tonight,"type: expense, amount: 4030, category: other, date: 2025-04-30"
"extract transaction: This morning, My gift card came in, got $3684","type: income, amount: 3684, category: gift, date: 2025-04-30"
"extract transaction: Last night, My work deposit came in, got $2371","type: income, amount: 2371, category: salary, date: 2025-04-29"
extract transaction: Spent $2230 on takeout earlier this week but recorded it this evening,"type: expense, amount: 2230, category: food_and_dining, date: 2025-04-30"
"extract transaction: This morning, Spent $2207 on hotel","type: expense, amount: 2207, category: travel, date: 2025-04-30"
extract transaction: Paid $3184 for monthly rent from Superstore earlier this week but recorded it this morning,"type: expense, amount: 3184, category: rent, date: 2025-04-30"
"extract transaction: Earlier today, I got $2197 from stock payout","type: income, amount: 2197, category: investment, date: 2025-04-30"
extract transaction: Received $2030 as lottery win this evening,"type: income, amount: 2030, category: other, date: 2025-04-30"
extract transaction: Got paid $4758 thanks to bank reward earlier this week but recorded it this evening,"type: income, amount: 4758, category: interest, date: 2025-04-30"
extract transaction: Got paid $2523 thanks to lottery win earlier this week but recorded it tonight,"type: income, amount: 2523, category: other, date: 2025-04-30"
extract transaction: I got $4109 from lottery win earlier today,"type: income, amount: 4109, category: other, date: 2025-04-30"
"extract transaction: Today, Spent $1864 on uber","type: expense, amount: 1864, category: transportation, date: 2025-04-30"
"extract transaction: Day before yesterday, Spent $364 on misc","type: expense, amount: 364, category: other, date: 2025-04-28"
"extract transaction: Earlier today, Got paid $3636 thanks to e-transfer from friend","type: income, amount: 3636, category: gift, date: 2025-04-30"
extract transaction: Spent $3909 on mortgage fee,"type: expense, amount: 3909, category: mortgage"
extract transaction: Spent $3764 on internet,"type: expense, amount: 3764, category: utilities"
extract transaction: Spent $4126 on mortgage fee,"type: expense, amount: 4126, category: mortgage"
extract transaction: Got paid $2381 thanks to work deposit,"type: income, amount: 2381, category: salary"
extract transaction: I got $3504 from project payout,"type: income, amount: 3504, category: freelance"
extract transaction: side gig brought in $1036,"type: income, amount: 1036, category: freelance"
extract transaction: I picked up electricity bill for $905,"type: expense, amount: 905, category: utilities"
extract transaction: I got $3222 from performance bonus,"type: income, amount: 3222, category: bonus"
extract transaction: Paid $3660 for flight from Superstore,"type: expense, amount: 3660, category: travel"
extract transaction: I picked up heating for $4479,"type: expense, amount: 4479, category: utilities"
extract transaction: Received $1693 as birthday money,"type: income, amount: 1693, category: gift"
"extract transaction: Bought coffee, it cost me $2942","type: expense, amount: 2942, category: food_and_dining"
extract transaction: Paid $1704 for movie ticket from Superstore,"type: expense, amount: 1704, category: entertainment"
"extract transaction: My lottery win came in, got $2329","type: income, amount: 2329, category: other"
extract transaction: Paid $2501 for donation from Superstore,"type: expense, amount: 2501, category: other"
extract transaction: I got $3727 from lottery win,"type: income, amount: 3727, category: other"
extract transaction: Spent $2257 on bus pass,"type: expense, amount: 2257, category: transportation"
extract transaction: Had to pay $680 for monthly rent,"type: expense, amount: 680, category: rent"
extract transaction: Had to pay $2930 for train ticket,"type: expense, amount: 2930, category: travel"
extract transaction: Got paid $2611 thanks to performance bonus,"type: income, amount: 2611, category: bonus"
extract transaction: I got $2346 from side gig,"type: income, amount: 2346, category: freelance"
extract transaction: I got $4139 from rebate,"type: income, amount: 4139, category: other"
extract transaction: I got $4315 from holiday bonus,"type: income, amount: 4315, category: bonus"
"extract transaction: Bought hoodie, it cost me $4053","type: expense, amount: 4053, category: shopping"
"extract transaction: My dividend came in, got $2736","type: income, amount: 2736, category: investment"
extract transaction: I picked up pizza for $1845,"type: expense, amount: 1845, category: food_and_dining"
"extract transaction: Bought uber, it cost me $4590","type: expense, amount: 4590, category: transportation"
extract transaction: Paid $1126 for internet from Superstore,"type: expense, amount: 1126, category: utilities"
extract transaction: Received $4280 as birthday money,"type: income, amount: 4280, category: gift"
extract transaction: Spent $4399 on dinner,"type: expense, amount: 4399, category: food_and_dining"
extract transaction: Received $3763 as lottery win,"type: income, amount: 3763, category: other"
"extract transaction: Bought dentist, it cost me $3384","type: expense, amount: 3384, category: healthcare"
"extract transaction: Bought superstore, it cost me $569","type: expense, amount: 569, category: groceries"
extract transaction: Dropped $1824 on dentist,"type: expense, amount: 1824, category: healthcare"
extract transaction: I got $789 from holiday bonus,"type: income, amount: 789, category: bonus"
extract transaction: Received $2419 as birthday money,"type: income, amount: 2419, category: gift"
extract transaction: Had to pay $1933 for bag,"type: expense, amount: 1933, category: shopping"
extract transaction: Spent $4430 on car insurance,"type: expense, amount: 4430, category: insurance"
"extract transaction: Bought movie ticket, it cost me $3857","type: expense, amount: 3857, category: entertainment"
extract transaction: Got paid $3112 thanks to gift card,"type: income, amount: 3112, category: gift"
extract transaction: Paid $3158 for youtube premium from Superstore,"type: expense, amount: 3158, category: subscriptions"
extract transaction: Spent $2459 on electricity bill,"type: expense, amount: 2459, category: utilities"
extract transaction: I got $221 from performance bonus,"type: income, amount: 221, category: bonus"
extract transaction: gift card brought in $3351,"type: income, amount: 3351, category: gift"
"extract transaction: Bought fee, it cost me $3270","type: expense, amount: 3270, category: other"
extract transaction: I got $2047 from performance bonus,"type: income, amount: 2047, category: bonus"
extract transaction: Had to pay $4559 for tenant insurance,"type: expense, amount: 4559, category: insurance"
extract transaction: Dropped $2213 on train ticket,"type: expense, amount: 2213, category: travel"
extract transaction: Spent $3393 on online class,"type: expense, amount: 3393, category: education"
extract transaction: Spent $3613 on electricity bill,"type: expense, amount: 3613, category: utilities"
"extract transaction: My holiday bonus came in, got $1680","type: income, amount: 1680, category: bonus"
extract transaction: performance bonus brought in $3435,"type: income, amount: 3435, category: bonus"
extract transaction: Had to pay $776 for misc,"type: expense, amount: 776, category: other"
extract transaction: Received $3373 as e-transfer from friend,"type: income, amount: 3373, category: gift"
extract transaction: I got $1514 from project payout,"type: income, amount: 1514, category: freelance"
extract transaction: interest income brought in $130,"type: income, amount: 130, category: interest"
extract transaction: Paid $3664 for fee from Superstore,"type: expense, amount: 3664, category: other"
extract transaction: Got paid $4581 thanks to performance bonus,"type: income, amount: 4581, category: bonus"
extract transaction: I picked up pizza for $3706,"type: expense, amount: 3706, category: food_and_dining"
extract transaction: I picked up donation for $1335,"type: expense, amount: 1335, category: other"
extract transaction: bank reward brought in $997,"type: income, amount: 997, category: interest"
extract transaction: Paid $1135 for monthly rent from Superstore,"type: expense, amount: 1135, category: rent"
"extract transaction: My e-transfer from friend came in, got $4355","type: income, amount: 4355, category: gift"
extract transaction: I picked up health insurance for $2637,"type: expense, amount: 2637, category: insurance"
extract transaction: Received $2867 as lottery win,"type: income, amount: 2867, category: other"
extract transaction: I got $4606 from rebate,"type: income, amount: 4606, category: other"
"extract transaction: My monthly salary came in, got $3405","type: income, amount: 3405, category: salary"
"extract transaction: My dividend came in, got $4069","type: income, amount: 4069, category: investment"
extract transaction: monthly salary brought in $870,"type: income, amount: 870, category: salary"
"extract transaction: Bought takeout, it cost me $1054","type: expense, amount: 1054, category: food_and_dining"
"extract transaction: My contract work came in, got $4907","type: income, amount: 4907, category: freelance"
extract transaction: I got $243 from holiday bonus,"type: income, amount: 243, category: bonus"
extract transaction: Got paid $2107 thanks to stock payout,"type: income, amount: 2107, category: investment"
"extract transaction: My holiday bonus came in, got $400","type: income, amount: 400, category: bonus"
extract transaction: Received $3383 as crypto gain,"type: income, amount: 3383, category: investment"
extract transaction: Received $27 as e-transfer from friend,"type: income, amount: 27, category: gift"
extract transaction: Spent $3203 on bag,"type: expense, amount: 3203, category: shopping"
extract transaction: Paid $4566 for internet from Superstore,"type: expense, amount: 4566, category: utilities"
